,Positions:,"Quorum of the Twelve Apostles, called by John Taylor, May 15, 1884 (1884-05-15) – April 1905
LDS Church Apostle, called by John Taylor, May 15, 1884 (1884-05-15) – March 28, 1911 (1911-03-28)","Quorum of the Twelve Apostles, called by John Taylor, May 15, 1884 (1884-05-15) – April 1905
LDS Church Apostle, called by John Taylor, May 15, 1884 (1884-05-15) – March 28, 1911 (1911-03-28)"
,Notes:,Son of John Taylor. Resigned from the Quorum in October 1905 and was excommunicated in 1911.,Son of John Taylor. Resigned from the Quorum in October 1905 and was excommunicated in 1911.
,Name:,Marriner W. Merrill,Marriner W. Merrill
,Born:,(1832-09-25)25 September 1832,(1832-09-25)25 September 1832
,Died:,6 February 1906(1906-02-06) (aged 73),6 February 1906(1906-02-06) (aged 73)
,Positions:,"Quorum of the Twelve Apostles, called by Wilford Woodruff, 7 October 1889 (1889-10-07) – 6 February 1906 (1906-02-06)
LDS Church Apostle, called by Wilford Woodruff, 7 October 1889 (1889-10-07) – 6 February 1906 (1906-02-06)","Quorum of the Twelve Apostles, called by Wilford Woodruff, 7 October 1889 (1889-10-07) – 6 February 1906 (1906-02-06)
LDS Church Apostle, called by Wilford Woodruff, 7 October 1889 (1889-10-07) – 6 February 1906 (1906-02-06)"
,Notes:,"Merrill was also the Postmaster of Richmond in 1866, a County Selectman from 1872 to 1879 and a member of the territorial legislature for two terms.","Merrill was also the Postmaster of Richmond in 1866, a County Selectman from 1872 to 1879 and a member of the territorial legislature for two terms."
,Name:,Anthon H. Lund,Anthon H. Lund
,Born:,"(1844-05-15)May 15, 1844","(1844-05-15)May 15, 1844"
,Died:,"March 2, 1921(1921-03-02) (aged 76)","March 2, 1921(1921-03-02) (aged 76)"
,Positions:,"President of the Quorum of the Twelve Apostles
(with Rudger Clawson as Acting President), November 23, 1918 (1918-11-23) – March 2, 1921 (1921-03-02)
First Counselor in the First Presidency, called by Heber J. Grant, November 23, 1918 (1918-11-23) – March 2, 1921 (1921-03-02)
First Counselor in the First Presidency, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – November 19, 1918 (1918-11-19)
Second Counselor in the First Presidency, called by Joseph F. Smith, October 17, 1901 (1901-10-17) – April 7, 1910 (1910-04-07)
Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – October 17, 1901 (1901-10-17)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – March 2, 1921 (1921-03-02)","President of the Quorum of the Twelve Apostles
(with Rudger Clawson as Acting President), November 23, 1918 (1918-11-23) – March 2, 1921 (1921-03-02)
First Counselor in the First Presidency, called by Heber J. Grant, November 23, 1918 (1918-11-23) – March 2, 1921 (1921-03-02)
First Counselor in the First Presidency, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – November 19, 1918 (1918-11-19)
Second Counselor in the First Presidency, called by Joseph F. Smith, October 17, 1901 (1901-10-17) – April 7, 1910 (1910-04-07)
Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – October 17, 1901 (1901-10-17)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – March 2, 1921 (1921-03-02)"
,Notes:,Also served as an official church historian and in the Utah Territorial Legislature.  He is credited with starting Utah State University because he introduced the legislation to start it.,Also served as an official church historian and in the Utah Territorial Legislature.  He is credited with starting Utah State University because he introduced the legislation to start it.
,Name:,Abraham H. Cannon,Abraham H. Cannon
,Born:,"(1859-03-12)March 12, 1859","(1859-03-12)March 12, 1859"
,Died:,"July 19, 1896(1896-07-19) (aged 37)","July 19, 1896(1896-07-19) (aged 37)"
,Positions:,"Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – July 19, 1896 (1896-07-19)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – July 19, 1896 (1896-07-19)
First Seven Presidents of the Seventy, called by John Taylor, October 8, 1882 (1882-10-08) – October 7, 1889 (1889-10-07)","Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – July 19, 1896 (1896-07-19)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1889 (1889-10-07) – July 19, 1896 (1896-07-19)
First Seven Presidents of the Seventy, called by John Taylor, October 8, 1882 (1882-10-08) – October 7, 1889 (1889-10-07)"
,Notes:,Was a member of the Council of Fifty. Son of apostle George Q. Cannon.,Was a member of the Council of Fifty. Son of apostle George Q. Cannon.
,Name:,Matthias F. Cowley,Matthias F. Cowley
,Born:,"(1858-08-25)August 25, 1858","(1858-08-25)August 25, 1858"
,Died:,"June 16, 1940(1940-06-16) (aged 81)","June 16, 1940(1940-06-16) (aged 81)"
,Positions:,"Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – October 28, 1905 (1905-10-28)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – May 11, 1911 (1911-05-11)","Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – October 28, 1905 (1905-10-28)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – May 11, 1911 (1911-05-11)"
,Notes:,"The town of Cowley, Wyoming is named after him. Cowley resigned from the Quorum October 28, 1905. He remained an ordained apostle of the church until his priesthood was suspended in on May 11, 1911, and later restored on April 3, 1936.","The town of Cowley, Wyoming is named after him. Cowley resigned from the Quorum October 28, 1905. He remained an ordained apostle of the church until his priesthood was suspended in on May 11, 1911, and later restored on April 3, 1936."
,Name:,Abraham O. Woodruff,Abraham O. Woodruff
,Born:,"(1872-11-23)November 23, 1872","(1872-11-23)November 23, 1872"
,Died:,"June 20, 1904(1904-06-20) (aged 31)","June 20, 1904(1904-06-20) (aged 31)"
,Positions:,"Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – June 20, 1904 (1904-06-20)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – June 20, 1904 (1904-06-20)","Quorum of the Twelve Apostles, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – June 20, 1904 (1904-06-20)
LDS Church Apostle, called by Wilford Woodruff, October 7, 1897 (1897-10-07) – June 20, 1904 (1904-06-20)"
,Notes:,"Son of Wilford Woodruff.  He was ordained an apostle at the young age of 23, but served less than 8 years due to his death of smallpox.","Son of Wilford Woodruff.  He was ordained an apostle at the young age of 23, but served less than 8 years due to his death of smallpox."
,Name:,Rudger Clawson,Rudger Clawson
,Born:,"(1857-03-12)March 12, 1857","(1857-03-12)March 12, 1857"
,Died:,"June 21, 1943(1943-06-21) (aged 86)","June 21, 1943(1943-06-21) (aged 86)"
,Positions:,"President of the Quorum of the Twelve Apostles, March 17, 1921 (1921-03-17) – June 21, 1943 (1943-06-21)
Acting President of the Quorum of the Twelve Apostles, November 23, 1918 (1918-11-23) – March 17, 1921 (1921-03-17)
Quorum of the Twelve Apostles, October 10, 1901 (1901-10-10) – June 21, 1943 (1943-06-21)
Second Counselor in the First Presidency, called by Lorenzo Snow, October 6, 1901 (1901-10-06) – October 10, 1901 (1901-10-10)
Quorum of the Twelve Apostles, called by Lorenzo Snow, October 10, 1898 (1898-10-10) – October 6, 1901 (1901-10-06)
LDS Church Apostle, called by Lorenzo Snow, October 10, 1898 (1898-10-10) – June 21, 1943 (1943-06-21)","President of the Quorum of the Twelve Apostles, March 17, 1921 (1921-03-17) – June 21, 1943 (1943-06-21)
Acting President of the Quorum of the Twelve Apostles, November 23, 1918 (1918-11-23) – March 17, 1921 (1921-03-17)
Quorum of the Twelve Apostles, October 10, 1901 (1901-10-10) – June 21, 1943 (1943-06-21)
Second Counselor in the First Presidency, called by Lorenzo Snow, October 6, 1901 (1901-10-06) – October 10, 1901 (1901-10-10)
Quorum of the Twelve Apostles, called by Lorenzo Snow, October 10, 1898 (1898-10-10) – October 6, 1901 (1901-10-06)
LDS Church Apostle, called by Lorenzo Snow, October 10, 1898 (1898-10-10) – June 21, 1943 (1943-06-21)"
,Notes:,"Clawson served in the Quorum of the Twelve for 45 years. The town of Clawson, Utah is named after him.","Clawson served in the Quorum of the Twelve for 45 years. The town of Clawson, Utah is named after him."
,Name:,Reed Smoot,Reed Smoot
,Born:,"(1862-01-10)January 10, 1862","(1862-01-10)January 10, 1862"
,Died:,"February 9, 1941(1941-02-09) (aged 79)","February 9, 1941(1941-02-09) (aged 79)"
,Positions:,"Quorum of the Twelve Apostles, called by Lorenzo Snow, April 8, 1900 (1900-04-08) – February 9, 1941 (1941-02-09)
LDS Church Apostle, called by Lorenzo Snow, April 8, 1900 (1900-04-08) – February 9, 1941 (1941-02-09)","Quorum of the Twelve Apostles, called by Lorenzo Snow, April 8, 1900 (1900-04-08) – February 9, 1941 (1941-02-09)
LDS Church Apostle, called by Lorenzo Snow, April 8, 1900 (1900-04-08) – February 9, 1941 (1941-02-09)"
,Notes:,"U.S. Senator from Utah, 1902–32.","U.S. Senator from Utah, 1902–32."
,Name:,Hyrum M. Smith,Hyrum M. Smith
,Born:,"(1872-03-21)March 21, 1872","(1872-03-21)March 21, 1872"
,Died:,"January 23, 1918(1918-01-23) (aged 45)","January 23, 1918(1918-01-23) (aged 45)"
,Positions:,"Quorum of the Twelve Apostles, called by Joseph F. Smith, October 24, 1901 (1901-10-24) – January 23, 1918 (1918-01-23)
LDS Church Apostle, called by Joseph F. Smith, October 24, 1901 (1901-10-24) – January 23, 1918 (1918-01-23)","Quorum of the Twelve Apostles, called by Joseph F. Smith, October 24, 1901 (1901-10-24) – January 23, 1918 (1918-01-23)
LDS Church Apostle, called by Joseph F. Smith, October 24, 1901 (1901-10-24) – January 23, 1918 (1918-01-23)"
,Notes:,"Brother of Joseph Fielding Smith, son of Joseph F. Smith, and grandson of Hyrum Smith.","Brother of Joseph Fielding Smith, son of Joseph F. Smith, and grandson of Hyrum Smith."
,Name:,George Albert Smith,George Albert Smith
,Born:,"(1870-04-04)April 4, 1870","(1870-04-04)April 4, 1870"
,Died:,"April 4, 1951(1951-04-04) (aged 81)","April 4, 1951(1951-04-04) (aged 81)"
,Positions:,"8th President of the Church of Jesus Christ of Latter-day Saints, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)
President of the Quorum of the Twelve Apostles, June 21, 1943 (1943-06-21) – May 21, 1945 (1945-05-21)
Quorum of the Twelve Apostles, called by Joseph F. Smith, October 8, 1903 (1903-10-08) – May 21, 1945 (1945-05-21)
LDS Church Apostle, called by Joseph F. Smith, October 8, 1903 (1903-10-08) – April 4, 1951 (1951-04-04)","8th President of the Church of Jesus Christ of Latter-day Saints, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)
President of the Quorum of the Twelve Apostles, June 21, 1943 (1943-06-21) – May 21, 1945 (1945-05-21)
Quorum of the Twelve Apostles, called by Joseph F. Smith, October 8, 1903 (1903-10-08) – May 21, 1945 (1945-05-21)
LDS Church Apostle, called by Joseph F. Smith, October 8, 1903 (1903-10-08) – April 4, 1951 (1951-04-04)"
,Notes:,Son of John Henry Smith and grandson of George A. Smith.,Son of John Henry Smith and grandson of George A. Smith.
,Name:,Charles W. Penrose,Charles W. Penrose
,Born:,(1832-02-04)4 February 1832,(1832-02-04)4 February 1832
,Died:,16 May 1925(1925-05-16) (aged 93),16 May 1925(1925-05-16) (aged 93)
,Positions:,"First Counselor in the First Presidency, called by Heber J. Grant, 10 March 1921 (1921-03-10) – 16 May 1925 (1925-05-16)
Second Counselor in the First Presidency, called by Heber J. Grant, 23 November 1918 (1918-11-23) – 10 March 1921 (1921-03-10)
Second Counselor in the First Presidency, called by Joseph F. Smith, 7 December 1911 (1911-12-07) – 19 November 1918 (1918-11-19)
Quorum of the Twelve Apostles, called by Joseph F. Smith, 7 July 1904 (1904-07-07) – 7 December 1911 (1911-12-07)
LDS Church Apostle, called by Joseph F. Smith, 7 July 1904 (1904-07-07) – 16 May 1925 (1925-05-16)","First Counselor in the First Presidency, called by Heber J. Grant, 10 March 1921 (1921-03-10) – 16 May 1925 (1925-05-16)
Second Counselor in the First Presidency, called by Heber J. Grant, 23 November 1918 (1918-11-23) – 10 March 1921 (1921-03-10)
Second Counselor in the First Presidency, called by Joseph F. Smith, 7 December 1911 (1911-12-07) – 19 November 1918 (1918-11-19)
Quorum of the Twelve Apostles, called by Joseph F. Smith, 7 July 1904 (1904-07-07) – 7 December 1911 (1911-12-07)
LDS Church Apostle, called by Joseph F. Smith, 7 July 1904 (1904-07-07) – 16 May 1925 (1925-05-16)"
,Notes:,Penrose was also a professor of theology at Brigham Young Academy from 1897 to 1899 and again in 1901 and 1902.,Penrose was also a professor of theology at Brigham Young Academy from 1897 to 1899 and again in 1901 and 1902.
,Name:,George F. Richards,George F. Richards
,Born:,"(1861-02-23)February 23, 1861","(1861-02-23)February 23, 1861"
,Died:,"August 8, 1950(1950-08-08) (aged 89)","August 8, 1950(1950-08-08) (aged 89)"
,Positions:,"President of the Quorum of the Twelve Apostles, May 21, 1945 (1945-05-21) – August 8, 1950 (1950-08-08)
Acting Presiding Patriarch, called by Heber J. Grant, October 8, 1937 (1937-10-08) – October 3, 1942 (1942-10-03)
Quorum of the Twelve Apostles, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – August 8, 1950 (1950-08-08)
LDS Church Apostle, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – August 8, 1950 (1950-08-08)","President of the Quorum of the Twelve Apostles, May 21, 1945 (1945-05-21) – August 8, 1950 (1950-08-08)
Acting Presiding Patriarch, called by Heber J. Grant, October 8, 1937 (1937-10-08) – October 3, 1942 (1942-10-03)
Quorum of the Twelve Apostles, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – August 8, 1950 (1950-08-08)
LDS Church Apostle, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – August 8, 1950 (1950-08-08)"
,Notes:,Son of Franklin D. Richards,Son of Franklin D. Richards
,Name:,Orson F. Whitney,Orson F. Whitney
,Born:,"(1855-07-01)July 1, 1855","(1855-07-01)July 1, 1855"
,Died:,"May 16, 1931(1931-05-16) (aged 75)","May 16, 1931(1931-05-16) (aged 75)"
,Positions:,"Quorum of the Twelve Apostles, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – May 16, 1931 (1931-05-16)
LDS Church Apostle, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – May 16, 1931 (1931-05-16)","Quorum of the Twelve Apostles, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – May 16, 1931 (1931-05-16)
LDS Church Apostle, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – May 16, 1931 (1931-05-16)"
,Notes:,Grandson of both Newel K. Whitney and Heber C. Kimball.,Grandson of both Newel K. Whitney and Heber C. Kimball.
,Name:,David O. McKay,David O. McKay
,Born:,"(1873-09-08)September 8, 1873","(1873-09-08)September 8, 1873"
,Died:,"January 18, 1970(1970-01-18) (aged 96)","January 18, 1970(1970-01-18) (aged 96)"
,Positions:,"9th President of the Church of Jesus Christ of Latter-day Saints, April 9, 1951 (1951-04-09) – January 18, 1970 (1970-01-18T18)
President of the Quorum of the Twelve Apostles
(with Joseph Fielding Smith as Acting President), August 8, 1950 (1950-08-08) – April 9, 1951 (1951-04-09)
Second Counselor in the First Presidency, called by George Albert Smith, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)
Second Counselor in the First Presidency, called by Heber J. Grant, October 11, 1934 (1934-10-11) – May 14, 1945 (1945-05-14)
Quorum of the Twelve Apostles, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – October 11, 1934 (1934-10-11)
LDS Church Apostle, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – January 18, 1970 (1970-01-18T18)","9th President of the Church of Jesus Christ of Latter-day Saints, April 9, 1951 (1951-04-09) – January 18, 1970 (1970-01-18T18)
President of the Quorum of the Twelve Apostles
(with Joseph Fielding Smith as Acting President), August 8, 1950 (1950-08-08) – April 9, 1951 (1951-04-09)
Second Counselor in the First Presidency, called by George Albert Smith, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)
Second Counselor in the First Presidency, called by Heber J. Grant, October 11, 1934 (1934-10-11) – May 14, 1945 (1945-05-14)
Quorum of the Twelve Apostles, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – October 11, 1934 (1934-10-11)
LDS Church Apostle, called by Joseph F. Smith, April 9, 1906 (1906-04-09) – January 18, 1970 (1970-01-18T18)"
,Name:,Anthony W. Ivins,Anthony W. Ivins
,Born:,"(1852-09-16)September 16, 1852","(1852-09-16)September 16, 1852"
,Died:,"September 23, 1934(1934-09-23) (aged 82)","September 23, 1934(1934-09-23) (aged 82)"
,Positions:,"First Counselor in the First Presidency, called by Heber J. Grant, May 25, 1925 (1925-05-25) – September 23, 1934 (1934-09-23)
Second Counselor in the First Presidency, called by Heber J. Grant, March 10, 1921 (1921-03-10) – May 25, 1925 (1925-05-25)
Quorum of the Twelve Apostles, called by Joseph F. Smith, October 6, 1907 (1907-10-06) – March 10, 1921 (1921-03-10)
LDS Church Apostle, called by Joseph F. Smith, October 6, 1907 (1907-10-06) – September 23, 1934 (1934-09-23)","First Counselor in the First Presidency, called by Heber J. Grant, May 25, 1925 (1925-05-25) – September 23, 1934 (1934-09-23)
Second Counselor in the First Presidency, called by Heber J. Grant, March 10, 1921 (1921-03-10) – May 25, 1925 (1925-05-25)
Quorum of the Twelve Apostles, called by Joseph F. Smith, October 6, 1907 (1907-10-06) – March 10, 1921 (1921-03-10)
LDS Church Apostle, called by Joseph F. Smith, October 6, 1907 (1907-10-06) – September 23, 1934 (1934-09-23)"
,Name:,Joseph Fielding Smith,Joseph Fielding Smith
,Born:,"(1876-07-19)July 19, 1876","(1876-07-19)July 19, 1876"
,Died:,"July 2, 1972(1972-07-02) (aged 95)","July 2, 1972(1972-07-02) (aged 95)"
,Positions:,"10th President of the Church of Jesus Christ of Latter-day Saints, January 23, 1970 (1970-01-23) – July 2, 1972 (1972-07-02)
Counselor in the First Presidency, called by David O. McKay, October 29, 1965 (1965-10-29) – January 18, 1970 (1970-01-18)
President of the Quorum of the Twelve Apostles, April 9, 1951 (1951-04-09) – January 23, 1970 (1970-01-23)
Acting President of the Quorum of the Twelve Apostles, August 8, 1950 (1950-08-08) – April 4, 1951 (1951-04-04)
Quorum of the Twelve Apostles, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – January 23, 1970 (1970-01-23)
LDS Church Apostle, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – July 2, 1972 (1972-07-02T1876)","10th President of the Church of Jesus Christ of Latter-day Saints, January 23, 1970 (1970-01-23) – July 2, 1972 (1972-07-02)
Counselor in the First Presidency, called by David O. McKay, October 29, 1965 (1965-10-29) – January 18, 1970 (1970-01-18)
President of the Quorum of the Twelve Apostles, April 9, 1951 (1951-04-09) – January 23, 1970 (1970-01-23)
Acting President of the Quorum of the Twelve Apostles, August 8, 1950 (1950-08-08) – April 4, 1951 (1951-04-04)
Quorum of the Twelve Apostles, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – January 23, 1970 (1970-01-23)
LDS Church Apostle, called by Joseph F. Smith, April 7, 1910 (1910-04-07) – July 2, 1972 (1972-07-02T1876)"
,Notes:,"Brother of Hyrum M. Smith, son of Joseph F. Smith, and grandson of Hyrum Smith. Remained a member of the quorum while a counselor to David O. McKay.","Brother of Hyrum M. Smith, son of Joseph F. Smith, and grandson of Hyrum Smith. Remained a member of the quorum while a counselor to David O. McKay."
,Name:,James E. Talmage,James E. Talmage
,Born:,(1862-09-21)21 September 1862,(1862-09-21)21 September 1862
,Died:,27 July 1933(1933-07-27) (aged 70),27 July 1933(1933-07-27) (aged 70)
,Positions:,"Quorum of the Twelve Apostles, called by Joseph F. Smith, 8 December 1911 (1911-12-08) – 27 July 1933 (1933-07-27)
LDS Church Apostle, called by Joseph F. Smith, 8 December 1911 (1911-12-08) – 27 July 1933 (1933-07-27)","Quorum of the Twelve Apostles, called by Joseph F. Smith, 8 December 1911 (1911-12-08) – 27 July 1933 (1933-07-27)
LDS Church Apostle, called by Joseph F. Smith, 8 December 1911 (1911-12-08) – 27 July 1933 (1933-07-27)"
,Notes:,President of the University of Utah (1894–97).,President of the University of Utah (1894–97).
,Name:,Stephen L Richards,Stephen L Richards
,Born:,"(1879-06-18)June 18, 1879","(1879-06-18)June 18, 1879"
,Died:,"May 19, 1959(1959-05-19) (aged 79)","May 19, 1959(1959-05-19) (aged 79)"
,Positions:,"First Counselor in the First Presidency, called by David O. McKay, April 9, 1951 (1951-04-09) – May 19, 1959 (1959-05-19)
Quorum of the Twelve Apostles, called by Joseph F. Smith, January 18, 1917 (1917-01-18) – April 9, 1951 (1951-04-09)
LDS Church Apostle, called by Joseph F. Smith, January 18, 1917 (1917-01-18) – May 19, 1959 (1959-05-19)","First Counselor in the First Presidency, called by David O. McKay, April 9, 1951 (1951-04-09) – May 19, 1959 (1959-05-19)
Quorum of the Twelve Apostles, called by Joseph F. Smith, January 18, 1917 (1917-01-18) – April 9, 1951 (1951-04-09)
LDS Church Apostle, called by Joseph F. Smith, January 18, 1917 (1917-01-18) – May 19, 1959 (1959-05-19)"
,Notes:,Grandson of Willard Richards.,Grandson of Willard Richards.
,Name:,Richard R. Lyman,Richard R. Lyman
,Born:,"(1870-11-23)November 23, 1870","(1870-11-23)November 23, 1870"
,Died:,"December 31, 1963(1963-12-31) (aged 93)","December 31, 1963(1963-12-31) (aged 93)"
,Positions:,"Quorum of the Twelve Apostles, called by Joseph F. Smith, April 7, 1918 (1918-04-07) – November 12, 1943 (1943-11-12)
LDS Church Apostle, called by Joseph F. Smith, April 7, 1918 (1918-04-07) – November 12, 1943 (1943-11-12)","Quorum of the Twelve Apostles, called by Joseph F. Smith, April 7, 1918 (1918-04-07) – November 12, 1943 (1943-11-12)
LDS Church Apostle, called by Joseph F. Smith, April 7, 1918 (1918-04-07) – November 12, 1943 (1943-11-12)"
,Notes:,"Son of Francis M. Lyman and grandson of Amasa Lyman. In 1925, Lyman had begun what he called a polygamous relationship after the practice of polygamy was banned in 1904.  Lyman was excommunicated on November 12, 1943. The Quorum of the Twelve provided the newspapers with a one-sentence announcement, stating that the ground for excommunication was violation of the law of chastity.","Son of Francis M. Lyman and grandson of Amasa Lyman. In 1925, Lyman had begun what he called a polygamous relationship after the practice of polygamy was banned in 1904.  Lyman was excommunicated on November 12, 1943. The Quorum of the Twelve provided the newspapers with a one-sentence announcement, stating that the ground for excommunication was violation of the law of chastity."
,Name:,Melvin J. Ballard,Melvin J. Ballard
,Born:,"(1873-02-09)February 9, 1873","(1873-02-09)February 9, 1873"
,Died:,"July 30, 1939(1939-07-30) (aged 66)","July 30, 1939(1939-07-30) (aged 66)"
,Positions:,"Quorum of the Twelve Apostles, called by Heber J. Grant, January 7, 1919 (1919-01-07) – July 30, 1939 (1939-07-30)
LDS Church Apostle, called by Heber J. Grant, January 7, 1919 (1919-01-07) – July 30, 1939 (1939-07-30)","Quorum of the Twelve Apostles, called by Heber J. Grant, January 7, 1919 (1919-01-07) – July 30, 1939 (1939-07-30)
LDS Church Apostle, called by Heber J. Grant, January 7, 1919 (1919-01-07) – July 30, 1939 (1939-07-30)"
,Name:,John A. Widtsoe,John A. Widtsoe
,Born:,(1872-01-31)31 January 1872,(1872-01-31)31 January 1872
,Died:,29 November 1952(1952-11-29) (aged 80),29 November 1952(1952-11-29) (aged 80)
,Positions:,"Quorum of the Twelve Apostles, called by Heber J. Grant, 17 March 1921 (1921-03-17) – 29 November 1952 (1952-11-29)
LDS Church Apostle, called by Heber J. Grant, 17 March 1921 (1921-03-17) – 29 November 1952 (1952-11-29)","Quorum of the Twelve Apostles, called by Heber J. Grant, 17 March 1921 (1921-03-17) – 29 November 1952 (1952-11-29)
LDS Church Apostle, called by Heber J. Grant, 17 March 1921 (1921-03-17) – 29 November 1952 (1952-11-29)"
,Notes:,President of Utah State University (1907–16) and president of the University of Utah (1916–21).,President of Utah State University (1907–16) and president of the University of Utah (1916–21).
,Name:,Joseph F. Merrill,Joseph F. Merrill
,Born:,"(1868-08-24)August 24, 1868","(1868-08-24)August 24, 1868"
,Died:,"February 3, 1952(1952-02-03) (aged 83)","February 3, 1952(1952-02-03) (aged 83)"
,Positions:,"Quorum of the Twelve Apostles, called by Heber J. Grant, October 8, 1931 (1931-10-08) – February 3, 1952 (1952-02-03)
LDS Church Apostle, called by Heber J. Grant, October 8, 1931 (1931-10-08) – February 3, 1952 (1952-02-03)","Quorum of the Twelve Apostles, called by Heber J. Grant, October 8, 1931 (1931-10-08) – February 3, 1952 (1952-02-03)
LDS Church Apostle, called by Heber J. Grant, October 8, 1931 (1931-10-08) – February 3, 1952 (1952-02-03)"
,Notes:,Son of Marriner W. Merrill.,Son of Marriner W. Merrill.
,Name:,Charles A. Callis,Charles A. Callis
,Born:,"(1865-05-04)May 4, 1865","(1865-05-04)May 4, 1865"
,Died:,"January 21, 1947(1947-01-21) (aged 81)","January 21, 1947(1947-01-21) (aged 81)"
,Positions:,"Quorum of the Twelve Apostles, called by Heber J. Grant, October 12, 1933 (1933-10-12) – January 21, 1947 (1947-01-21)
LDS Church Apostle, called by Heber J. Grant, October 12, 1933 (1933-10-12) – January 21, 1947 (1947-01-21)","Quorum of the Twelve Apostles, called by Heber J. Grant, October 12, 1933 (1933-10-12) – January 21, 1947 (1947-01-21)
LDS Church Apostle, called by Heber J. Grant, October 12, 1933 (1933-10-12) – January 21, 1947 (1947-01-21)"
,Notes:,Was also president of the Southern States Mission.,Was also president of the Southern States Mission.
,Name:,J. Reuben Clark,J. Reuben Clark
,Born:,"(1871-09-01)September 1, 1871","(1871-09-01)September 1, 1871"
,Died:,"October 6, 1961(1961-10-06) (aged 90)","October 6, 1961(1961-10-06) (aged 90)"
,Positions:,"First Counselor in the First Presidency, called by David O. McKay, June 12, 1959 (1959-06-12) – October 6, 1961 (1961-10-06)
Second Counselor in the First Presidency, called by David O. McKay, April 9, 1951 (1951-04-09) – June 12, 1959 (1959-06-12)
First Counselor in the First Presidency, called by George Albert Smith, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)
First Counselor in the First Presidency, called by Heber J. Grant, October 6, 1934 (1934-10-06) – May 14, 1945 (1945-05-14)
Quorum of the Twelve Apostles, October 11, 1934 (1934-10-11) – October 11, 1934 (1934-10-11)
LDS Church Apostle, called by Heber J. Grant, October 11, 1934 (1934-10-11) – October 6, 1961 (1961-10-06)
Second Counselor in the First Presidency, called by Heber J. Grant, April 6, 1933 (1933-04-06) – October 6, 1934 (1934-10-06)","First Counselor in the First Presidency, called by David O. McKay, June 12, 1959 (1959-06-12) – October 6, 1961 (1961-10-06)
Second Counselor in the First Presidency, called by David O. McKay, April 9, 1951 (1951-04-09) – June 12, 1959 (1959-06-12)
First Counselor in the First Presidency, called by George Albert Smith, May 21, 1945 (1945-05-21) – April 4, 1951 (1951-04-04)
First Counselor in the First Presidency, called by Heber J. Grant, October 6, 1934 (1934-10-06) – May 14, 1945 (1945-05-14)
Quorum of the Twelve Apostles, October 11, 1934 (1934-10-11) – October 11, 1934 (1934-10-11)
LDS Church Apostle, called by Heber J. Grant, October 11, 1934 (1934-10-11) – October 6, 1961 (1961-10-06)
Second Counselor in the First Presidency, called by Heber J. Grant, April 6, 1933 (1933-04-06) – October 6, 1934 (1934-10-06)"
,Notes:,United States Under Secretary of State (1928–29) and the U.S. Ambassador to Mexico (1930–33).,United States Under Secretary of State (1928–29) and the U.S. Ambassador to Mexico (1930–33).
,Name:,Alonzo A. Hinckley,Alonzo A. Hinckley
,Born:,"(1870-04-23)April 23, 1870","(1870-04-23)April 23, 1870"
,Died:,"December 22, 1936(1936-12-22) (aged 66)","December 22, 1936(1936-12-22) (aged 66)"
